Titulo,Sinopsis,Año,Duracion,Url
MalaYerba,"Cuando el cannabis medicinal es legalizado en Colombia, tres jóvenes emprendedores rápidamente se abren paso en el codiciado mercado.",2021,11 EPISODIOS,https://www.starz.com/ar/es/series/malayerba/64882
Spartacus,"Traicionado por Romanos. Forzado a la esclavitud. Renacido como Gladiador. Apartado de su patria y su mujer, Spartacus es condenado al mundo de la arena donde la sangre y la muerte reinan.",2010 - 2013,39 EPISODIOS,https://www.starz.com/ar/es/series/spartacus/5972
Black Sails,"La aventura pirata ""Black Sails"", se centra en las historias del capitán Flint y su notoria tripulación mientras luchan por la fortuna y la supervivencia antes de los eventos descritos en el libro ""La isla del tesoro"".",2014 - 2017,38 EPISODIOS,https://www.starz.com/ar/es/series/black-sails/19568
BMF,"""BMF"" sigue la historia de dos hermanos que crearon la ""Black Mafia Family"", la red de distribución de drogas más promienente en la historia Americana.",2021,9 EPISODIOS,https://www.starz.com/ar/es/series/bmf/62264
Dr. Death: The Undoctored Story,"""Dr. Death: The Undoctored Story"" es la primera docuserie sobre el Dr. Christopher Duntsch, el notorio neurocirujano, cuya historia impactante ha cautivado al mundo.",2021,5 EPISODIOS,https://www.starz.com/ar/es/series/dr-death-the-undoctored-story/65195
The Name of the Rose,"En 1327, un brillante monje franciscano ingés, Guillermo de Baskerville, es enviado por el Santo Imperio Romano a un monasterio aislado al norte de Italia para un dramático y decisivo encuentro.",2019,8 EPISODIOS,https://www.starz.com/ar/es/series/the-name-of-the-rose/45429
Instinto Animal,"Este drama sobre una familia criminal sigue a un adolescente quien, luego de la muerte de su madre, se muda con sus parientes independientes a un balneario del sur de California. Atraído por la vida de excesos que llevan, pronto descubre que esta está financiada por actividades criminales y que unirse a la familia viene con más peligro de lo que podría estar listo para manejar.",2016 - 2019,49 EPISODIOS,https://www.starz.com/ar/es/series/instinto-animal/56898
Shining Vale,Prepárate para Shining Vale. Estreno de la serie el 6 de marzo.,2022,1 EPISODIOS,https://www.starz.com/ar/es/series/shining-vale/64078
The Girlfriend Experience,"""The Girlfriend Experience"" es la reinvención de la aclamada película en 2009 del mismo nombre de Steven Soderbergh y explora las relaciones entre acompañantes exclusivas y sus clientes, para quienes proveen de mucho más cosas que solo sexo. Conocidas como acompañantes, son mujeres que proveen ""La Experiencia de una Amiga""—relaciones a un precio muy alto.",2016 - 2021,38 EPISODIOS,https://www.starz.com/ar/es/series/the-girlfriend-experience/25586
Sweetbitter,"Tess empieza a trabajar en uno de los restaurantes más elegantes de Nueva York, pensando en que sería un trabajo temporal, pero pronto se vio imbuida en al ambiente de sus colegas, la vida nocturna, y el ritmo rápido del estilo de vida de la ciudad.",2018 - 2019,14 EPISODIOS,https://www.starz.com/ar/es/series/sweetbitter/37699
The Rook,"Cuando una mujer despierta rodeada de cadáveres sin ningún recuerdo, debe revelar su misterioso pasado para conocer la verdad.",2019,8 EPISODIOS,https://www.starz.com/ar/es/series/the-rook/44140
Dublin Murders,"“Dublin Murders” es una serie de misterio de ocho episodios con una trama que se adentra profundamente en el pasado de Irlanda, presagia su presente y brinda una percepción de su futuro.",2019,9 EPISODIOS,https://www.starz.com/ar/es/series/dublin-murders/45426
Sr. Mercedes,Un asesino serial demente se burla de un policía retirado con una serie de cartas y correos electrónicos espeluznantes.,2017 - 2019,30 EPISODIOS,https://www.starz.com/ar/es/series/sr-mercedes/45919
Gangs of London,"Tras el asesinato del líder de una banda criminal, el vacío de poder amenaza la frágil paz entre la compleja red de pandillas que operan en las calles de Londres.",2020,10 EPISODIOS,https://www.starz.com/ar/es/series/gangs-of-london/60530
Little Birds,Una Adaptación de la infame conlección de cuentos eróticos de Anais Nin.,2021,6 EPISODIOS,https://www.starz.com/ar/es/series/little-birds/62168
Vida,"""Vida"" es una serie de media hora que se enfoca en dos hermanas mexico-americanas de lado Este de Los Ángeles que no podrían ser más diferentes ni estar más distanciadas entre sí. Las circunstancias las obligan a volver a su antiguo barrio en donde son confrontadas por su pasado y por la insospechada verdad sobre la identidad de su madre.",2018 - 2020,23 EPISODIOS,https://www.starz.com/ar/es/series/vida/37707
Now Apocalypse,"“Now Apocalypse” se centra en Ulysses y sus amigos, en su búsqueda de amor, sexo y fama mientras intentan navegar la ciudad de Los Ángeles. Los sueños de Ulysses le hacen preguntarse si no existe una especie de conspiración oscura.",2019,10 EPISODIOS,https://www.starz.com/ar/es/series/now-apocalypse/43571
Los Miserables,"En el contexto épico de Francia en una época de disturbios civiles, ""Les Misérables"" es la historia de Jean Valjean, un ex convicto incapaz de escapar de la sombra de su vida pasada.",2019,8 EPISODIOS,https://www.starz.com/ar/es/series/los-miserables/46038
P-Valley,En la profundidad de Mississippi Delta yace un oasis de diversión y glamour en un momento difícil para la existencia humana donde la belleza es difícil de encontrar.,2020,9 EPISODIOS,https://www.starz.com/ar/es/series/p-valley/46156
Penny Dreadful,"Penny Dreadful es un thriller psicológico lleno de un oscuro misterio y de suspenso, donde los demonios personales del pasado pueden ser más fuertes que los vampiros, los espíritus malignos y las bestias inmortales.",2014 - 2016,27 EPISODIOS,https://www.starz.com/ar/es/series/penny-dreadful/61184
The Little Drummer Girl,Un asesino palestino está focalizándose en israelíes prominentes. Los israelíes reclutan una actriz inglesa para infiltrarse en su célula terrorista. Esto requerirá todo su talento interpretativo y la pondrá en riesgo.,2018,6 EPISODIOS,https://www.starz.com/ar/es/series/the-little-drummer-girl/45715
Hightown,"Ambientada en el bello, pero sombrío, Cabo Cod, esta serie, narra el camino de una mujer para dejar las drogas y el alcohol. Pero todo es eclipsado por una investigación por asesinato.",2020 - 2021,19 EPISODIOS,https://www.starz.com/ar/es/series/hightown/57463
High Fidelity,"Una re-imaginación de la novela de 1995 de Nick Hornby, ""High Fidelity"" se centra en Rob, una dueña de una tienda de discos que recuerda las relaciones pasadas a través de la música y la cultura pop.",2020,11 EPISODIOS,https://www.starz.com/ar/es/series/high-fidelity/60255
Houdini,"Adrien Brody, ganador del Premio de la Academia*, y Kristen Connolly estelarizan HOUDINI, que sigue la transformación de inmigrante a superestrella del mundialmente famoso maestro escapista.",2014,2 EPISODIOS,https://www.starz.com/ar/es/series/houdini/45824
Blue Mountain State,"En Blue Mountain State, el campus universitario más pendenciero del país, los atletas aprenden los altibajos de ser unos de los pocos elegidos que son venerados en el campus.",2010 - 2011,39 EPISODIOS,https://www.starz.com/ar/es/series/blue-mountain-state/46152
Pennyworth,"Esta historia original de DC sigue al legendario mayordomo de Bruce Wayne, Alfred Pennyworth, exsoldado británico del Servicio Aéreo Especial que funda una empresa de seguridad y va a trabajar con el joven multimillonario Thomas Wayne, que aún no es el padre multimillonario de Bruce, en la década del 60 en Londres.",2019 - 2021,22 EPISODIOS,https://www.starz.com/ar/es/series/pennyworth/57149
Confronting a Serial Killer,"La asombrosa historia de la relación sin precedentes entre la aclamada autora y periodista Jillian Lauren y el asesino en serie más prolífico de la historia de Estados Unidos, Sam Little.",2021,6 EPISODIOS,https://www.starz.com/ar/es/series/confronting-a-serial-killer/59920
SEDUCED: INSIDE THE NXIVM CULT,"Esta docuserie de la directora y productora Cecilia Peck y la productora y editora Inbal Lessner —quienes colaboraron en ""Brave Miss World"", nominada al Emmy®— sigue el peligroso viaje de India Oxenberg a través del culto de esclavización sexual NXVIM.",2020,4 EPISODIOS,https://www.starz.com/ar/es/series/seduced-inside-the-nxivm-cult/59967
The Night Manager,"""The Night Manager"" es un apasionante thriller de espionaje, muestra las andanzas del ex soldado inglés Jonathan Pine (Hiddleston), que, tras incorporarse al servicio de inteligencia británico, debe infiltrarse en el círculo de confianza del peligroso traficante de armas Richard Onslow Roper (Laurie). Debido a esto, Pine deberá convertirse en todo un criminal.",2016,6 EPISODIOS,https://www.starz.com/ar/es/series/the-night-manager/61267
Luther,"Un oscuro drama psicológico donde Idris Elba interpreta a Luther, un hombre que lucha contra sus propios demonios terribles, que podría ser tan peligroso como los depravados asesinos que caza.",2010 - 2019,20 EPISODIOS,https://www.starz.com/ar/es/series/luther/45048
The Dresden Files,"Harry Dresden (Paul Blackthorne), detective privado con habilidades extraordinarias. Ayuda a la policía con delitos al parecer inexplicables y sigue sus propios casos, siempre con un sentido del humor irónico.",2007,12 EPISODIOS,https://www.starz.com/ar/es/series/the-dresden-files/45616
Rosemary's Baby,"""Rosemary's Baby"" es la nueva versión de la novela de superventas de Ira levin, que sigue a una mujer embarazada quien descubre una trama siniestra alrededor de su bebé no nacido.",2014,2 EPISODIOS,https://www.starz.com/ar/es/series/rosemarys-baby/45825
Wolf Creek,"Mick Taylor regresa para causar estragos en Wolf Creek. Excepto que esta vez una víctima se defiende. La única sobreviviente de la masacre de su familia, la estudiante universitaria Eve Thorogood, promete llevar al asesino ante la justicia.",2016 - 2017,12 EPISODIOS,https://www.starz.com/ar/es/series/wolf-creek/46155
Heels,"Dos hermanos y rivales en el ring - uno el villano o “heel”, el otro el héroe o “face” -se disputan el triunfo en la liga de lucha libre de su padre fallecido, buscan la atención nacional hacia un pequeño pueblo de Georgia.",2021,8 EPISODIOS,https://www.starz.com/ar/es/series/heels/60760
No Man's Land,"La hermana de Antoine lleva varios años declarada muerta, pero él está convencido de que está viva. Viaja a Siria, donde las combatientes kurdas luchan contra ISIS.",2020,9 EPISODIOS,https://www.starz.com/ar/es/series/no-mans-land/61940
The Attaché,"Avshalom, un músico exitoso, se traslada a París cuando su esposa Annabelle consigue un trabajo allí. Son recibidos por ataques terroristas y el sueño de un año romántico en el extranjero se vuelve una pesadilla.",2021,10 EPISODIOS,https://www.starz.com/ar/es/series/the-attach%C3%A9/62262
Step Up,"Basada en las películas favoritas de los fans, la serie Step Up es un drama emocionante, sexy, y lleno de música sobre bailarines en una escuela de artes escénicas comtemporáneas.",2018 - 2019,20 EPISODIOS,https://www.starz.com/ar/es/series/step-up/62777
Flesh And Bone,"Esta oscura y delicada serie sigue a una joven bailarina, Claire, que se une a una prestigiosa compañía de ballet de la ciudad de Nueva York y se encuentra con el glamour y la disfunción del mundo del ballet.",2015,8 EPISODIOS,https://www.starz.com/ar/es/series/flesh-and-bone/24528
Boss,"El alcalde Tom Kane (Kelsey Grammer) es el rey de Chicago y gobierna su dominio con un puño de hierro. El engaño, el escándalo y la traición van de la mano con la forma de política de Kane.",2011 - 2012,18 EPISODIOS,https://www.starz.com/ar/es/series/boss/30888
Wrong Man,Un equipo de expertos junto con investigadores locales buscan la verdad que hay detrás de casos criminales de convictos que fueron encarcelados por décadas y que presumen ser inocentes.,2018 - 2020,13 EPISODIOS,https://www.starz.com/ar/es/series/wrong-man/38184
America To Me,"La serie documental sin libreto “América para mí” lidia con problemas cruciales al plantear preguntas complejas y controvertidas, como se ve a través de los ojos de un diverso grupo de jóvenes estadounidenses.",2018,10 EPISODIOS,https://www.starz.com/ar/es/series/america-to-me/38818
Warriors Of Liberty City,"La serie sigue a los Guerreros de Liberty City, un programa de fútbol juvenil. La vida, como el fútbol, es un deporte de contacto, y para los niños, ser un Guerrero es el secreto para ambos.",2018,6 EPISODIOS,https://www.starz.com/ar/es/series/warriors-of-liberty-city/39040
Leavenworth,"""Leavenworth"" está basada en la polémica historia real de Clint Lorance, un ex teniente, que cumple una condena de 19 años por homicidio en la prisión estadounidense de ""Leavenworth.""",2019 - 2020,6 EPISODIOS,https://www.starz.com/ar/es/series/leavenworth/45100
Chasing Life,"Chasing Life sigue a April, una periodista de veintitantos años cuya vida finalmente se está arreglando. Cuando repentinamente le diagnostican cáncer, su mundo se pone de cabeza y ella debe aprender a seguir persiguiendo la vida.",2014 - 2015,34 EPISODIOS,https://www.starz.com/ar/es/series/chasing-life/45516
The Kill Point,"""Este drama lleno de testosterona trata de un grupo de veteranos de guerra insensibilizados, quienes se enfrentan a un negociador de rehenes que se niega a retroceder durante un atraco bancario frustrado"".",2007,8 EPISODIOS,https://www.starz.com/ar/es/series/the-kill-point/45612
Fleming: El Hombre Que Sería Bond,"Drama de acción basado en la historia de la vida de Ian Fleming, creador de James Bond.",2014,4 EPISODIOS,https://www.starz.com/ar/es/series/fleming-el-hombre-que-ser%C3%ADa-bond/45716
And Then There Were None,"Basado en la novela policíaca más vendida de todos los tiempos por Agatha Christie. Ocho extraños son atraídos a una isla aislada en la costa de Devon, donde pronto queda claro que han sido convocados para expiar sus crímenes pasados.",2015,3 EPISODIOS,https://www.starz.com/ar/es/series/and-then-there-were-none/45929
Run the World,"""Run the World"" es una serie de ocho episodios de media hora de duración que cuenta la historia de un grupo de mujeres negras, vibrantes y leales mejores amigas, que trabajan, viven y juegan en Harlem mientras se esfuerzan por dominar el mundo. En esencia, es un programa femenino sin pelos en la lengua que trata de una amistad envidiable y de no sólo sobrevivir, sino de progresar juntas.",2021,9 EPISODIOS,https://www.starz.com/ar/es/series/run-the-world/58457
Manhunt: Deadly Games,"Después de un mortal ataque terrorista en los Juegos Olímpicos de 1996, los agentes del FBI cazan a un escurridizo atacante en serie, mientras que un hombre inocente acusado injustamente, lucha por limpiar su nombre.",2020,10 EPISODIOS,https://www.starz.com/ar/es/series/manhunt-deadly-games/59063
Blindspotting,"“Blindspotting” es protagonizada por Ashley que vive en Oakland, donde su novio y padre de su hijo es encarcelado; esta situación la deja en la nada y le produce una crisis existencial.",2021,8 EPISODIOS,https://www.starz.com/ar/es/series/blindspotting/62263
