Titulo,Sinopsis,Año,Duracion,Url
La Cumbre Escarlata,"Cuando un extraño seductor le roba el corazón, una joven mujer se deja llevar hasta una casa en la cima de una montaña de arcilla color rojo sangre, un lugar lleno de secretos que la perseguirán por siempre.",2015,118 MIN,https://www.starz.com/ar/es/movies/la-cumbre-escarlata-65822
Dulce venganza,"Este remake del clásico de 1978 del mismo nombre, cuenta la historia de una mujer que es brutalmente violada y asaltada por cuatro hombres, sobrevive, y toma la ley en sus propias manos buscando venganza contra sus atacantes.",2010,108 MIN,https://www.starz.com/ar/es/movies/dulce-venganza-9303
La reina,Hellen Mirren ganó el Oscar a Mejor Actriz en 2006 por su brillante retrato de la Reina Isabel cuando lidiaba con la trágica muerte de la Princesa Diana.,2006,103 MIN,https://www.starz.com/ar/es/movies/la-reina-25264
La enfermera,"Durante el día, la enfermera Abby Russell se ocupa con cariño de los pacientes de All Saints Memorial Hospital; durante la noche, merodea por los clubes nocturnos, seduciendo a hombres infieles a tener relaciones peligrosas.",2014,83 MIN,https://www.starz.com/ar/es/movies/la-enfermera-28990
Rendirse jamás,"Un adolescente rebelde ingresa a una nueva escuela, donde se ve envuelto en la escena de la lucha clandestina. Ayudado por un especialista en artes marciales mixtas, se prepara para asumir su mayor desafío hasta ahora.",2008,113 MIN,https://www.starz.com/ar/es/movies/rendirse-jam%C3%A1s-30857
Casino,"Esta historia se desarrolla en Las Vegas, en 1973, y está basada en hechos sobre la operación de un casino multimillonario de la mafia donde las fortunas y las vidas se creaban y se perdían.",1995,178 MIN,https://www.starz.com/ar/es/movies/casino-43838
Caracortada,"Cuando Fidel Castro abrió la frontera para que los cubanos que tuviesen familia en Miami pudieran salir, 125 mil personas salieron de Cuba con sueños de libertad y de una nueva vida.",1983,169 MIN,https://www.starz.com/ar/es/movies/caracortada-45072
Crepúsculo la saga: Luna Nueva,"A Bella se le parte el corazón cuando la familia Cullen decide mudarse para poner fin a su relación con el vampiro Edward. Ella busca consuelo en su amigo Jacob, y comienza a preguntarse si podrían ser algo más.",2009,130 MIN,https://www.starz.com/ar/es/movies/crep%C3%BAsculo-la-saga-luna-nueva-50238
Dura verdad,"Durante su viaje en velero por España, una familia entera es secuestrada. Ahora, un joven de Wall Street debe enfrentar a las personas responsables: agentes de inteligencia del gobierno que buscan recuperar un maletín misterioso.",2012,93 MIN,https://www.starz.com/ar/es/movies/dura-verdad-50508
De Tyler Perry: ¿Por qué me casé también?,"Con el mismo elenco carismático de la exitosa comedia dramática, ""¿Por qué me casé?"", Tyler Perry nos trae el siguiente capítulo en la vida de ocho amigos de la universidad que luchan con los desafíos de la vida conyugal en: ""¿Por qué me casé también?""",2010,120 MIN,https://www.starz.com/ar/es/movies/de-tyler-perry-por-qu%C3%A9-me-cas%C3%A9-tambi%C3%A9n-50512
Crepúsculo La Saga: Amanecer - Parte 1,"Drama de fantasía protagonizada por Robert Pattinson y Kristen Stewart. Después de regresar de su Luna de miel, Bella y Edward se sorprenden al descubrir que están esperando un bebé. Las cosas pronto empeorarán, ya que el embarazo pone en riesgo la salud de Bella y la manada de lobos, que ven al niño por nacer como una amenaza, complotan para asegurar que no llegue a la edad adulta.",2011,117 MIN,https://www.starz.com/ar/es/movies/crep%C3%BAsculo-la-saga-amanecer-parte-1-50666
Después Del Sexo,"¿De qué hablamos cuando el sexo termina? Conoce a ocho parejas -heterosexuales y gays, vírgenes y extraños, amantes, mentirosos, engañadores y swingers.",2007,77 MIN,https://www.starz.com/ar/es/movies/despu%C3%A9s-del-sexo-51896
Horizonte profundo,"Horizonte profundo es una historia llena de heroísmo y acción, basada en los hechos reales que sucedieron en la plataforma de Deepwater Horizon en el Golfo de México en 2010. La historia narra la valentía de los trabajadores de la plataforma y los momentos de coraje. En esta batalla de supervivencia durante lo que se convertía en uno de los mayores desastres naturales hechos por el hombre.",2016,107 MIN,https://www.starz.com/ar/es/movies/horizonte-profundo-62067
Día del atentado,La historia del bombardeo de la maratón de Boston del 2013 y la búsqueda de personas en la ciudad para encontrar a los terroristas responsables.,2016,133 MIN,https://www.starz.com/ar/es/movies/d%C3%ADa-del-atentado-62672
Requiem por un sueño,"Cuatro personas luchan contra una drogadicción que llega a niveles insaciables. Pese a sus buenas intenciones, las drogas los vencen y sus vidas salen de control.",2000,101 MIN,https://www.starz.com/ar/es/movies/requiem-por-un-sue%C3%B1o-23724
Un paso adelante,"Tyler Gage (Channing Tatum) creció en las duras calles de Baltimore. Un roce con la ley obliga a Tyler a realizar servicio comunitario en la Escuela de artes de Maryland de la ciudad. Allí conoce a Nora(Jenna Dewan), la primera bailarina de la escuela, y toda su vida toma un giro drástico.",2006,103 MIN,https://www.starz.com/ar/es/movies/un-paso-adelante-24244
The Dresser,"En esta historia perversamente divertida y conmovedora, Sir reflexiona sobre sus logros y busca reconciliar sus turbulentas amistades con sus empleados antes del telón final.",2015,109 MIN,https://www.starz.com/ar/es/movies/the-dresser-26226
Pandillas de Nueva York,"Tras años de encarcelamiento, el joven inmigrante irlandés Amsterdam Vallon (Leonardo DiCaprio) regresa, buscando venganza contra el líder de la pandilla rival que asesinó a su padre, William Cutting alias ""Bill el Carnicero"".",2002,166 MIN,https://www.starz.com/ar/es/movies/pandillas-de-nueva-york-29581
Halloween III: El imperio de las brujas,Un malvado fabricante de juguetes planea vender millones de máscaras que matarán a todos los niños que las usen la noche de Halloween.,1982,97 MIN,https://www.starz.com/ar/es/movies/halloween-iii-el-imperio-de-las-brujas-29999
El traidor,"Cuando el honesto agente del FBI, Roy Clayton (Guy Pearce de MEMENTO) encabeza la investigación de una peligrosa conspiración internacional, todas las pistas apuntan al exoficial de Operaciones Especiales de EE. UU., Samir Horn (Don Cheadle de CRASH).",2008,114 MIN,https://www.starz.com/ar/es/movies/el-traidor-30168
Apariciones,"Extraños y aterradores sucesos rodean a una familia (Donald Sutherland, Sissy Spacek, Rachel Hurd-Wood) en el estado de Tennessee de 1817 luego de que un ciudadano maldijera al padre. Possession knows no bounds. Basada en el libro de Brent Monahan.",2005,90 MIN,https://www.starz.com/ar/es/movies/apariciones-36016
Spider-Man: De regreso a casa,Un joven Peter Parker/Hombre Araña comienza a navegar la nueva identidad encontrada como el superhéroe lanzador de la web.,2017,133 MIN,https://www.starz.com/ar/es/movies/spider-man-de-regreso-a-casa-37147
Traficantes por error,"Donald Faison protagoniza como un repartidor desafortunado que se encuentra en el centro de un negocio de drogas que salió horriblemente mal en Traficantes por Error, una comedia de acción estruendosa con un elenco de estrellas.",2009,84 MIN,https://www.starz.com/ar/es/movies/traficantes-por-error-39896
Pánico en altamar,"Un grupo de viejos amigos se encuentran para una reunión a bordo de un yate de lujo, pero el evento se convierte en una pesadilla cuando se lanzan al mar a nadar sin primero bajar la escalera.",2006,94 MIN,https://www.starz.com/ar/es/movies/p%C3%A1nico-en-altamar-41569
Rapture-Palooza,"Después de que el apocalipsis sucede, Lindsey y su novio Ben están entre los que quedaron en la tierra. Las cosas toman un giro aún peor cuando el Anticristo se acerca, y vuelve su atención hacia Lindsey. Decidido a escapar de sus garras y la posibilidad de convertirse en su esposa, la pareja se embarcará en una misión para encontrar una manera de derrotarlo de una vez por todas.",2013,84 MIN,https://www.starz.com/ar/es/movies/rapture-palooza-42964
Crepúsculo,"Una adolescente con problemas se muda con su padre a un pequeño pueblo aislado. Ella se enamora de un misterioso solitario con un secreto impactante, ¿podría tener algo que ver con los asesinatos locales que han comenzado a tener lugar?",2008,121 MIN,https://www.starz.com/ar/es/movies/crep%C3%BAsculo-49947
Educación básica,"Bienvenidos a la escuela primaria Geraldine Ferraro, donde los maestros están borrachos, son perezosos o psicóticos, todos los niños están abandonados y el vicedirector agotado Tom Willoman apenas resiste. Pero cuando la inspectora del distrito Rebecca Seabrook, cierra la escuela, ella y Tom diseñan un plan para recuperar las aulas del increíblemente corrupto director Billings.",2008,94 MIN,https://www.starz.com/ar/es/movies/educaci%C3%B3n-b%C3%A1sica-50122
RED: Retirados Extremadamente Duros,"Cuando un agente retirado de la CIA es el objetivo de un asesino mortal, llama a sus viejos amigos del trabajo en un intento de conocer la verdad mientras se mantiene alejado de las garras del misterioso enemigo.",2010,111 MIN,https://www.starz.com/ar/es/movies/red-retirados-extremadamente-duros-50355
