Titulo,Sinopsis,Año,Duracion,Url
Un Santa No Tan Santo,"Willie, un Santa acabado y bromista de un centro comercial que sólo trabaja por las oportunidades criminales. Este año, Santa y su elfo ven su asalto anual en peligro debido a un inadaptado de ocho años quien decide creer que Willie es el Santa verdadero.",2003,99 MIN,https://www.starz.com/ar/es/movies/un-santa-no-tan-santo-49311
Cuenta regresiva,"Un maestro abre una cápsula del tiempo que ha sido desenterrada en la escuela primaria de su hijo, en ella hay algunas predicciones escalofriantes, algunas que ya han ocurrido y otras que están a punto de ocurrir, que le llevan a creer que su familia juega un papel en los acontecimientos que están a punto de desarrollarse.",2009,121 MIN,https://www.starz.com/ar/es/movies/cuenta-regresiva-49386
La Guardería de Papá,"Cuando los ejecutivos publicitarios Charlie y Phil pierden su trabajo intentando vender un cereal de desayuno con sabor a verduras, se convierten en los propietarios de la guardería Papá Canguro.",2003,92 MIN,https://www.starz.com/ar/es/movies/la-guarder%C3%ADa-de-pap%C3%A1-49407
Una vida por delante,"Un ranchero (Robert Redford) de Wyoming le da refugio a su sufrida nuera (Jennifer Lopez), cuyas heridas tardan un buen tiempo en sanar.",2005,107 MIN,https://www.starz.com/ar/es/movies/una-vida-por-delante-49570
Mi nombre es Tsotsi,"Un criminal convertido en asesino se da cuenta de que la mujer que asesinó dejó un bebé en el asiento trasero de su coche, y pronto se vuelve más apegado a él de lo que nunca pensó posible.",2005,94 MIN,https://www.starz.com/ar/es/movies/mi-nombre-es-tsotsi-49793
Crank: muerte anunciada,"Hoy es el último día de la vida del asesino a sueldo Chev Chelios. Le suministraron un veneno que lo matará si permite que su corazón se estabilice a un ritmo normal. Para mantenerse con vida y vengarse, Chev debe mantener su adrenalina elevada de cualquier manera posible.",2006,87 MIN,https://www.starz.com/ar/es/movies/crank-muerte-anunciada-49809
Peligro en Bangkok,"Joe (Nicolas Cage) es un asesino profesional que llega a Bangkok para atender algunos asuntos. Inesperadamente se encuentra entrenando a una joven alumna. Luego, se enamora de una mujer que no tiene conocimiento de su verdadero trabajo.",2008,99 MIN,https://www.starz.com/ar/es/movies/peligro-en-bangkok-49853
Mamma Mia!,"Donna, una madre independiente y soltera, dueña de un pequeño hotel en una idílica isla griega, está a punto de dejar que se marche Sophie, la hija a la que ha criado sola.",2008,108 MIN,https://www.starz.com/ar/es/movies/mamma-mia-50021
Plan de escape,"Ray Breslin, una de las principales autoridades del mundo en materia de seguridad estructural, acepta asumir un trabajo poco ortodoxo: salir de una instalación ultra secreta y de alta tecnología llamada la Tumba. Cuando acepta, se inserta en la prisión más secreta y segura del mundo, y necesitará la ayuda de un compañero preso llamado Emil Rottmayer.",2013,115 MIN,https://www.starz.com/ar/es/movies/plan-de-escape-50202
Rudo y Cursi : La vida es un volado,Los hermanos Beto (Diego Luna) y Tato (Gael García Bernal) Verdusco trabajan en un rancho platanero y juegan futbol en el equipo de su pueblo.,2008,101 MIN,https://www.starz.com/ar/es/movies/rudo-y-cursi-la-vida-es-un-volado-50225
"Crepúsculo, la saga: Eclipse","Mientras una serie de misteriosos asesinatos se apodera de Seattle, Bella, cuya graduación de secundaria se acerca rápidamente, se ve obligada a elegir entre su amor por el vampiro Edward y su amistad con el hombre lobo Jacob.",2010,123 MIN,https://www.starz.com/ar/es/movies/crep%C3%BAsculo-la-saga-eclipse-50241
Pobres divas,"Nora y Mary Domínguez, dos hermanas que llevan una vida fácil y llena de lujos en Beverly Hills, lo pierden todo cuando su padre muere súbitamente. Las hermanas van a vivir con su tía a Los Ángeles Este, una zona mucho más humilde de la ciudad.",2011,106 MIN,https://www.starz.com/ar/es/movies/pobres-divas-50421
Dredd,"Una prostituta convertida en narcotraficante pretende apoderarse de la futurista ciudad de Mega City One. El juez Dredd, el principal miembro de una fuerza policial de élite, es la última esperanza de la ciudad.",2012,95 MIN,https://www.starz.com/ar/es/movies/dredd-50713
Los juegos del hambre: Sinsajo - Parte 1,"El fenómeno mundial continúa. Katniss (Jennifer Lawrence) sobrevivió y destruyó los Juegos del Hambre, y ahora se levanta con el Distrito 13 para luchar contra el presidente Snow (Donald Sutherland).",2014,122 MIN,https://www.starz.com/ar/es/movies/los-juegos-del-hambre-sinsajo-parte-1-50738
Zombie,"Después del apocalipsis zombie, la sobreviviente Julie es rescatada de un ataque de zombies por R, quién también es uno de los muertos vivientes. Sin embargo, a medida que su relación se desarrolla, R aparentemente comienza a volverse humano de nuevo.",2013,97 MIN,https://www.starz.com/ar/es/movies/zombie-50752
Los juegos del hambre: En llamas,"Katniss Everdeen ha regresado a casa a salvo después de ganar los 74º juegos anuales del Hambre. Siente que una rebelión se avecina, pero el Capitolio todavía está en control, ya que los Próximos juegos del Hambre están listos.",2013,146 MIN,https://www.starz.com/ar/es/movies/los-juegos-del-hambre-en-llamas-50815
Crepúsculo la saga: Amanecer – Parte 2,"En el quinto y último capítulo de la saga de Crepúsculo, el nacimiento del hijo de Bella y Edward enciende las fuerzas que amenazan con destruirlos a todos. Ahora, los Cullen deben conseguir la ayuda de amigos lejanos y antiguos enemigos, incluyendo la manada de lobos de Jacob, mientras las tensiones parecen dirigirse hacia una guerra total en la emocionante conclusión del fenómeno épico.",2012,115 MIN,https://www.starz.com/ar/es/movies/crep%C3%BAsculo-la-saga-amanecer-%E2%80%93-parte-2-50834
El lado oscuro del deseo,"Evan es un hombre casado cuya mujer e hijos están de viaje. Una noche lluviosa acoge a dos chicas que, aunque al principio se muestre reacio, lo seducen. Lo que todavía no sabe son los horribles planes que ellas tienen para él.",2015,99 MIN,https://www.starz.com/ar/es/movies/el-lado-oscuro-del-deseo-50862
Sicario,"En el área fronteriza y anárquica que se extiende entre los Estados Unidos y México, una agente idealista del FBI es reclutada por un funcionario gubernamental élite para ayudar en la creciente guerra contra las drogas.",2015,121 MIN,https://www.starz.com/ar/es/movies/sicario-50878
Escándalo Americano,Thriller político ambientado en los años 70 sobre un agente del FBI que investiga un caso en el que algunos miembros del Congreso aparecen implicados en un delito.,2013,138 MIN,https://www.starz.com/ar/es/movies/esc%C3%A1ndalo-americano-50880
Divergente,"En el futuro, una adolescente aprende que es una ""Divergente"". Cuando se entera del complot de un malvado líder para asesinar a todos los divergentes se embarca en una búsqueda frenética para saber la verdad sobre sí misma.",2014,139 MIN,https://www.starz.com/ar/es/movies/divergente-50899
Decisión final,"En el día del Draft de la NFL, el gerente general de los Cafés de Cleveland debe decidir que es lo que está dispuesto a sacrificar mientras busca al seleccionado número uno.",2014,109 MIN,https://www.starz.com/ar/es/movies/decisi%C3%B3n-final-51070
Divergente la serie: Insurgente,"Los fugitivos Tris y Four buscan aliados y respuestas entre las ruinas de Chicago mientras tratan de evadir desesperadamente a Jeanine, líder de los Eruditos. Basada en la novela de Veronica Roth",2015,118 MIN,https://www.starz.com/ar/es/movies/divergente-la-serie-insurgente-51081
Tyler Perry's A Madea Christmas,"A Madea la engatusan para ayudar a una amiga para hacer una visita sorpresa durante la Navidad, a su hija que vive en el campo. Pero la sorpresa mayor es lo que se llevan ellas cuando llegan. Mientras el pueblo se prepara para su fiesta navideña anual, se revelan nuevos secretos y se ponen a prueba viejas amistades entre tanto Madea les sirve a todos su propia marca de espíritu navideño.",2013,99 MIN,https://www.starz.com/ar/es/movies/tyler-perrys-a-madea-christmas-51369
El grito 3,Un doctor (Shawnee Smith) necesita la ayuda de una misteriosa mujer japonesa para combatir a dos fantasmas vengativos.,2009,90 MIN,https://www.starz.com/ar/es/movies/el-grito-3-51492
El gringo,Un hombre es emboscado en una ciudad fronteriza mexicana llena de gángsters con una bolsa llena de dinero robado y debe encontrar la manera de mantenerse con vida hasta que pueda salir.,2012,98 MIN,https://www.starz.com/ar/es/movies/el-gringo-51654
"¡Bu! 2 Una noche de brujas de Madea, de Tyler Perry","Cuando la hija de Brian, (Tyler Perry) se escapa a una fiesta, en un campamento embrujado, Madea, Bam Hattie y Joe comienzan toda una travesía llena de miedo y diversión para traerla de regreso a casa, haciendo reír y asustando a todos los monstruos, duendes y fanáticos de la fiesta que se interponen en su camino.",2017,100 MIN,https://www.starz.com/ar/es/movies/bu-2-una-noche-de-brujas-de-madea-de-tyler-perry-51713
Fenómeno siniestro 2,"Un año después de que un equipo de filmación pasara una noche fatal en el Hospital Psiquiátrico Collingwood, un nuevo equipo vuelve a los pasillos en busca de la verdad. Es decir, si queda alguien vivo para contarlo.",2012,99 MIN,https://www.starz.com/ar/es/movies/fen%C3%B3meno-siniestro-2-51727
Lo imposible,"Esta película aclamada por la por Naomi Watts y Ewan McGregor está basada en la verdadera historia de una familia atrapada en una de las peores catástrofes naturales de nuestro tiempo, el tsunami del 2004, que devastó el sudeste asiático.",2012,113 MIN,https://www.starz.com/ar/es/movies/lo-imposible-51754
Los Perdedores Movie,"Cuatro mejores amigos se embarcan en unas vacaciones inolvidables en el extranjero llenas de sol, alcohol y la promesa de una pasión salvaje y loca en esta estrambótica comedia británica.",2012,97 MIN,https://www.starz.com/ar/es/movies/los-perdedores-movie-51811
Las ventajas de ser invisible,"Drama protagonizado por Emma Watson y Ezra Miller, basado en la novela de Stephen Chbosky. Charlie siempre ha sido un introvertido, pero es forzado a salir de las sombras cuando conoce a Sam y a su hermanastro amante de la aventura Patrick. Juntos, el trío inicia un viaje de descubrimiento mientras exploran el amor, la sexualidad, la música y las fiestas salvajes.",2012,102 MIN,https://www.starz.com/ar/es/movies/las-ventajas-de-ser-invisible-51827
Tropa de élite,"Antes de la llegada del Papa a Rio de Janeiro, el Capitán Nascimento de la fuerza BOPE quiere salir de la corporación para dedicarse a enseñar en la academia y poder atender a su esposa embarazada, por lo que debe encontrar un sustituto para su puesto.",2007,115 MIN,https://www.starz.com/ar/es/movies/tropa-de-%C3%A9lite-51922
Grey Lady,"Después de que su compañera policía y amante, fuera asesinada en Boston, el detective de homicidios James Doyle (Eric Dane) sigue una pista puesta en las últimas palabras de ella hasta la remota isla de Nantucket para buscar a su asesino en la solitaria temporada baja.",2017,109 MIN,https://www.starz.com/ar/es/movies/grey-lady-51947
Halloween 4: el regreso de Michael Myers,"Hace diez años, cambió la manera de vivir el día de brujas. Esta noche...¡él está de vuelta!",1988,88 MIN,https://www.starz.com/ar/es/movies/halloween-4-el-regreso-de-michael-myers-52072
Halloween 5: la venganza de Michael Myers,"Los ciudadanos de Haddonfield, Illinois, están a punto de soportar la venganza de Michael Myers, ya que el presunto asesino muerto ha vuelto para a matar de nuevo. Protagonizada por Donald Pleasance y Danielle Harris.",1989,97 MIN,https://www.starz.com/ar/es/movies/halloween-5-la-venganza-de-michael-myers-52080
El Príncipe y yo,"Paige es una estudiante de medicina brillante de un pueblo rural con grandes planes para su futuro. Sin embargo, estos planes quedan en un segundo plano cuando conoce a Eddie, un estudiante de Dinamarca del que se enamora.",2004,110 MIN,https://www.starz.com/ar/es/movies/el-pr%C3%ADncipe-y-yo-52089
Lugares oscuros,"Charlize Theron, Nicholas Hoult, Cholë Grace Moretz y Christina Hendricks protagonizan este thriller de misterio, basado en la novela de Gillian Flynn (Perdida).",2015,113 MIN,https://www.starz.com/ar/es/movies/lugares-oscuros-52235
Dioses de Egipto,"Bek, un héroe mortal, se une al dios Horus en una alianza contra Set, el despiadado dios de las tinieblas, que ha usurpado el trono de Egipto, sumiendo a un imperio que una vez fue pacífico y próspero en el caos y el conflicto.",2016,127 MIN,https://www.starz.com/ar/es/movies/dioses-de-egipto-59238
El último cazador de brujas,El último cazador de brujas es la única barrera entre la humanidad y las fuerzas combinadas de las más terribles brujas de la historia.,2015,106 MIN,https://www.starz.com/ar/es/movies/el-%C3%BAltimo-cazador-de-brujas-59242
Dónde Está El Dinero,"Un joven de agudo intelecto, proveniente de las calles de South Central, debe ser reclutado en una fraternidad elitista en USC para recuperar dinero robado.",2017,85 MIN,https://www.starz.com/ar/es/movies/d%C3%B3nde-est%C3%A1-el-dinero-60447
Punto ciego,Los amigos de toda la vida Daveed Diggs y Rafael Casal coescribieron y protagonizaron esta entretenida historia sobre las interacciones de las razas y clases en una Oakland en rápido crecimiento.,2018,95 MIN,https://www.starz.com/ar/es/movies/punto-ciego-60449
El contratista,"Elizabeth Chase es una esposa comprensiva y una madre amorosa. Su trabajo en uno de los principales hospitales infantiles de Los Ángeles la tiene bastante ocupada estos días. Además, la crianza de su hija McKenzie, consume todo su tiempo.",2013,88 MIN,https://www.starz.com/ar/es/movies/el-contratista-60686
Ladrones,El legendario ladrón Alejandro Toledo regresa a sus raíces con un nuevo socio para reclamar tierras robadas a una comunidad humilde por una despiadada familia de ladrones.,2015,97 MIN,https://www.starz.com/ar/es/movies/ladrones-60725
Campamento del terror,"Cuatro jóvenes estadounidenses se apuntan como monitores en un campamento de verano en Europa. Al llegar, una extraña infección, que causa furia extrema, sumerge al grupo en una espiral de terror y locura",2015,84 MIN,https://www.starz.com/ar/es/movies/campamento-del-terror-60727
Crímenes de lujuria,"Rebeca y Arturo encuentran pasión el uno en el otro - y quizá hasta el amor. Pero sobre todo, tienen una oportunidad: Rebeca quiere asesinar a su esposo y cobrar el seguro, mientras que Arturo podrá poseer a la mujer de sus sueños y todo su dinero.",2011,89 MIN,https://www.starz.com/ar/es/movies/cr%C3%ADmenes-de-lujuria-60735
Power Rangers,Saban’s Power Rangers cuenta la historia de cinco adolescentes de lo más ordinario que deben convertirse en algo extraordinario al enterarse que su pueblito de Angel Grove – y el mundo – están a punto de ser aniquilados por una amenaza extraterrestre.,2017,123 MIN,https://www.starz.com/ar/es/movies/power-rangers-61798
La La Land: Una historia de amor,"Emma Stone y Ryan Gosling la protagonizan como Mia y Sebastian, una actriz y un músico de jazz que buscan alcanzar sus sueños en Hollywood y se encuentran uno al otro en una animada celebración de esperanza, sueños y amor.",2016,127 MIN,https://www.starz.com/ar/es/movies/la-la-land-una-historia-de-amor-62069
¡Competencia en la cocina!,Una madre soltera que sueña con una vida mejor y ama cocinar encuentra el camino al éxito cuando su hijo la insribe en una competencia de gastronomía.,2017,98 MIN,https://www.starz.com/ar/es/movies/competencia-en-la-cocina-62670
El castillo de cristal,"Aventuras extravagantes de una familia resiliente y unida encabezan El castillo de cristal, una extraordinaria historia de amor incondicional.",2017,126 MIN,https://www.starz.com/ar/es/movies/el-castillo-de-cristal-62676
Una Navidad a la moda real,"Kristin Cooper, la guapa y talentosa asistente de una firma global de relaciones públicas, es puesta a cargo del Desfile de Moda y Subasta Navideña anual para el empresario de ropa, Sr. Carson.",2018,86 MIN,https://www.starz.com/ar/es/movies/una-navidad-a-la-moda-real-62682
UNA BODA PARA NAVIDAD,Haley Foster escapó de su infancia en un pequeño pueblo en Pineridge y construyó una gran vida en la ciudad de Los Ángeles como una de las mejores planificadoras de bodas en una poderosa compañía de elite dirigida por la Sra. Reynolds.,2018,88 MIN,https://www.starz.com/ar/es/movies/una-boda-para-navidad-62684
Best F(r)iends: Volume Two,"Un vagabundo se hace amigo de un extravagante director de funeraria, y pronto, forman una sociedad, aunque una que poco tiene de comercial. La locura no tarda en surgir, pero estos hombres se verán forzados a sobrellevar las cosas a través de la amistad y la lealtad.",2018,93 MIN,https://www.starz.com/ar/es/movies/best-f-r-iends-volume-two-62686
Jigsaw: El juego continúa,"Cadáveres se han estado apareciendo por toda la ciudad. Conforme la investigación avanza, las evidencias indican hacia un hombre: John Kramer. Pero ¿cómo puede ser esto? El hombre conocido como Jigsaw ha estado muerto por más de diez años.",2017,91 MIN,https://www.starz.com/ar/es/movies/jigsaw-el-juego-contin%C3%BAa-62688
Asesino: Misión venganza,"Stan Hurley, un veterano de la Guerra Fría, recluta y entrena a Mitch Rapp, cuya novia murió en un ataque terrorista. Con la colaboración de una letal agente turca, los tres deberán detener a un grupo terrorista antes de que inicien una guerra",2017,111 MIN,https://www.starz.com/ar/es/movies/asesino-misi%C3%B3n-venganza-62690
La maldición de Blackwood,"Cinco adolescentes emocionalmente frágiles son enviadas a Blackwood, una misteriosa escuela para niñas superdotadas y perturbadas.",2018,96 MIN,https://www.starz.com/ar/es/movies/la-maldici%C3%B3n-de-blackwood-62692
La maldición de la casa Winchester,"El bebé y el marido (William Wirt Winchester) de Sarah Winchester, heredera de la compañía de rifles Winchester, mueren repentinamente. Debido a ello, cree estar maldita por toda la muerte causada por los rifles, por lo que acude a una médium, quien le aconseja construirse una casa en San José, California, la cual nunca debe finalizarse, para que los espíritus que regresan no puedan hallarla.",2018,99 MIN,https://www.starz.com/ar/es/movies/la-maldici%C3%B3n-de-la-casa-winchester-62694
Golpe en londres,"Un atraco a un banco sale mal y alguien es asesinado, pero las cosas pueden no ser lo que parecen.",2017,95 MIN,https://www.starz.com/ar/es/movies/golpe-en-londres-62696
Father Figures,"Dos hermanos mellizos crecieron pensando que su padre había muerto, pero descubren que está vivo y emprenden un viaje para encontrarlo. No será sencillo, ya que su madre se acostó con muchos hombres poderosos y famosos en la década de 1970.",2017,112 MIN,https://www.starz.com/ar/es/movies/father-figures-62698
Si Solo Pudiera Imaginar,"Bart Millard es el líder de la banda cristiana MercyMe, que pierde a su padre por un cáncer. Este trágico suceso le inspira a escribir una canción que tiene gran éxito llamada I Can Only Imagine y en la que se inspira está dramática historia.",2018,110 MIN,https://www.starz.com/ar/es/movies/si-solo-pudiera-imaginar-62700
Best F(r)iends: Volume 1,"El dúo dinámico detrás de THE ROOM y THE DISASTER ARTIST (Tommy Wiseau y Greg Sestero) vuelven a encontrarse después de 15 años en este nuevo clásico de culto. Cuando un vagabundo (Sestero) se hace amigo del extravagante encargado de una funeraria (Wiseau), se forma una rara sociedad comercial. Esto pronto da lugar a la paranoia, y ambos deberán aceptar la fragilidad de la amistad y la lealtad.",2018,103 MIN,https://www.starz.com/ar/es/movies/best-f-r-iends-volume-1-62746
Testigo de cargo,"La historia está ambientada en el Londres de la década de 1920 y se centra en un asesinato, ""brutal y sanguinario"", que ha ""manchado las lujosas alfombras de una hermosa casa de Londres"".",2017,117 MIN,https://www.starz.com/ar/es/movies/testigo-de-cargo-62754
El legado,"Un exconvicto recientemente liberado y su hermano menor, adoptivo, se ven obligados a huir. Al ser perseguidos por un criminal vengativo, los federales y un grupo de soldados de otro mundo, encontraron su única protección: un arma de ascendenciamisteriosa.",2018,102 MIN,https://www.starz.com/ar/es/movies/el-legado-62756
Navidad empaquetada,"Candace Cameron Bure protagoniza Navidad empaquetada, como la doctora Lauren Burnell que acepta una posición en Alaska después de perder a su novio y prestigioso compañero de cirugía, sólo para luego darse cuenta que es en un diminuto hospital en un pueblito.",2014,86 MIN,https://www.starz.com/ar/es/movies/navidad-empaquetada-63106
Make your move,"Make your move trata de una joven bailarina coreana, Aya (BoA), que vive en Nueva York y dirige su grupo de baile femenino Cobu. Aya se enamora de Donny (Derek Hough), un valiente y atrevido bailarín que se muda de Nueva Orleans a Nueva York para ayudar a su hermanastro, Nick (Wesley Jonathan), a dirigir uno de los clubes de baile más populares de la ciudad.",2014,109 MIN,https://www.starz.com/ar/es/movies/make-your-move-63444
Querido Santa Secreto,"Tatyana Ali estelariza en esta película llena de estrellas, incluyendo a Jordin Sparks, Ernie Hudson y Della Reese. ¡Es un reconfortante romance navideño!",2013,89 MIN,https://www.starz.com/ar/es/movies/querido-santa-secreto-63449
El árbol de Navidad,"Cuando la chica de la gran ciudad (Lacey Chabert) regresa para salvar la el vivero de árboles de su infancia, tal vez puede redescubrir más de lo que quería, incluyendo a su amor verdadero.",2014,87 MIN,https://www.starz.com/ar/es/movies/el-%C3%A1rbol-de-navidad-63451
Ranchero,"Este crudo drama estelarizado por Danny Trejo (MACHETE) sigue la vida de dos fracasados hombres de mediana edad y su batalla con las drogas, las pandillas y los sueños rotos en un miserable barrio de Los Ángeles.",2011,94 MIN,https://www.starz.com/ar/es/movies/ranchero-63541
"Posdata, te amo",Una viuda (Hilary Swank) apenada encuentra una serie de mensajes que le dejó su marido fallecido para ayudarle a disminuir su dolor y alentarla a iniciar una nueva vida por sí misma.,2007,125 MIN,https://www.starz.com/ar/es/movies/posdata-te-amo-63543
Una Navidad a la medida,"Este año Steven acogerá a su familia durante la Navidad, por lo que contrata a una organizadora de eventos para que le ayude a planear su fiesta familiar.",2018,84 MIN,https://www.starz.com/ar/es/movies/una-navidad-a-la-medida-63545
El sabotaje,"Un equipo de élite de la agencia antidroga norteamericana (DEA) aprovecha una operación contra un cártel para apoderarse de un botín de varios millones de dólares; poco después, alguien empieza a eliminar a los miembros del grupo para quedarse con todo el dinero.",2014,109 MIN,https://www.starz.com/ar/es/movies/el-sabotaje-63675
El libro de los secretos,Un héroe solitario tiene que buscarse la vida en las tierras baldías de la América post-apocalíptica para proteger un libro sagrado que contiene la llave para salvar el futuro de la humanidad.,2010,117 MIN,https://www.starz.com/ar/es/movies/el-libro-de-los-secretos-63744
Casi Navidad,Una familia disfuncional se reúne para su primera Navidad desde que falleció su mamá.,2016,110 MIN,https://www.starz.com/ar/es/movies/casi-navidad-65820
Ouija: El origen del mal,"En Ouija: El origen del mal, la secuela del éxito inesperado del 2014, un grupo de ilusos amigos debe confrontar sus más terribles miedos cuando desatan un mal del más allá que sólo ellos pueden mandar de regreso.",2016,98 MIN,https://www.starz.com/ar/es/movies/ouija-el-origen-del-mal-65840
